Spécialité commerciale;Matière active (M.A.);Autre;Concentration en M.A. (% );Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);New Biocontrol Column;Nombre de traitements autorisés;Spécialité commerciale;Matière active (M.A.);New Biocontrol Column;Spécialité commerciale;Matière active (M.A.);Autre;Dose d'homologation (en kg ou L / ha);Dose d'homologation (en kg ou L / ha);Insecticide;New Biocontrol Column;Nombre de traitements autorisés
BOUILLIE BORDELAISE CAFFARO WG;cuivre ;;20.0;5.0;1.0;3.0;AZUPEC 80 GD;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;ARMICARB JARDIN;hydrogénocarbonate de potassium ;Jardin autorisé;0.5;0.4;0;1;8.0
BOUILLIE BORDELAISE CAFFARO WG;cuivre ;;20.0;3.0;0.6;4.0;MICROTHIOL SPECIAL LIQUIDE;soufre triture ventile ;;12.1;10.0;1.0;1.0;;;;;;;;;;;ESQUIVE WP;Trichoderma atroviride souche I-1237 ;;4.0;40000.0;0;1;1.0
NUCOP HI BIO WG;cuivre de l'hydroxyde de cuivre ;;20.0;3.75;0.8;5.0;MICROTHIOL SPECIAL LIQUIDE;soufre triture ventile ;;12.1;10.0;1.0;1.0;;;;;;;;;;;ESQUIVE WP;Trichoderma atroviride souche I-1237 ;;4.0;40000.0;0;1;1.0
YUCCA;oxychlorure de cuivre ;;37.75;8.4;3.2;;MICROTHIOL SPECIAL LIQUIDE;soufre triture ventile ;;12.1;10.0;1.0;1.0;;;;;;;;;;;ESQUIVE WP;Trichoderma atroviride souche I-1237 ;badigeon;100.0;1000000.0;0;1;1.0
BORMIX;cuivre ;;20.0;2.5;0.5;;MICROTHIOL SPECIAL LIQUIDE;soufre triture ventile ;;12.1;10.0;1.0;8.0;;;;;;;;;;;ESQUIVE WP;Trichoderma atroviride souche I-1237 ;badigeon;100.0;1000000.0;0;1;1.0
BOUILLIE BORDELAISE EXPRESS;cuivre ;Jardin autorisé;20.0;20.0;4.0;;WHISPER;soufre ;;11.4;8.0;1.0;10.0;;;;;;;;;;;PLANTVAX;laminarine ;;2.0;0.1;0;1;20.0
BOUILLIE BORDELAISE EXPRESS;cuivre ;Jardin autorisé;20.0;12.0;2.4;;LUCIFERE;soufre ;;12.5;10.0;1.0;8.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;7.0;0.4;1;1;7.0
CUPROXAT PRET A L'EMPLOI;sulfate de cuivre tribasique ;Jardin autorisé;5.11;1000.0;51.1;5.0;SUBLIME EXTRA 99%;soufre ;;25.0;24.8;1.0;8.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;7.0;0.4;1;1;3.0
CUPROXAT PRET A L'EMPLOI;sulfate de cuivre tribasique ;Jardin autorisé;5.11;1000.0;51.1;4.0;FLUIDOSOUFRE;Sulphur ;;25.0;24.8;1.0;3.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;2.4;0.1;1;1;8.0
CUPROXAT PRET A L'EMPLOI;sulfate de cuivre tribasique ;Jardin autorisé;5.11;1000.0;51.1;5.0;MICROTHIOL SPECIAL DISPERSS;soufre triture ventile ;;20.0;16.0;1.0;1.0;;;;;;;;;;;PREV-GOLD;huile essentielle d'orange ;;2.4;0.1;1;1;8.0
